input_index,pred_root,pred_stem,pred_leaf,pred_fruit,fruit_margin,num_point_differences,orig_length,generated_length
49,3.1298134326934814,3.208228349685669,3.0297303199768066,5.403835296630859,2.1956069469451904,122,165,165
50,3.7281618118286133,3.6523165702819824,3.6046266555786133,5.693586349487305,1.9654245376586914,126,165,165
51,3.3987462520599365,3.06695294380188,2.8540217876434326,5.904543876647949,2.5057976245880127,114,165,165
52,5.973561763763428,5.657204627990723,5.412510395050049,8.554645538330078,2.5810837745666504,116,165,165
53,1.9715932607650757,1.7680866718292236,1.767430305480957,4.404204845428467,2.432611584663391,128,165,165
54,8.9894380569458,8.78997802734375,8.64102840423584,11.40492057800293,2.415482521057129,110,165,165
55,1.9868781566619873,1.9998037815093994,1.847357988357544,4.0572190284729,2.057415246963501,105,165,165
56,0.9124895334243774,0.8076056838035583,0.8923690319061279,1.8061105012893677,0.8936209678649902,90,165,165
57,8.447615623474121,8.422887802124023,8.257017135620117,10.652780532836914,2.205164909362793,122,165,165
58,5.424339294433594,5.473349571228027,5.358663082122803,7.07321310043335,1.5998635292053223,104,165,165
59,0.10400494933128357,0.023410260677337646,0.19912490248680115,1.7998666763305664,1.6007417738437653,84,165,165
60,7.163885593414307,7.205934524536133,7.068427085876465,9.035160064697266,1.8292255401611328,100,165,165
61,1.081289291381836,0.7900022864341736,0.6118099689483643,3.165543794631958,2.084254503250122,116,165,165
62,4.292809963226318,4.202169418334961,4.032855987548828,6.439813613891602,2.147003650665283,109,165,165
63,4.0710248947143555,4.212991237640381,4.061192035675049,5.836569309234619,1.6235780715942383,113,165,165
64,8.870691299438477,8.849359512329102,8.510064125061035,10.950237274169922,2.0795459747314453,105,165,165
65,3.578889846801758,3.553114652633667,3.3641018867492676,5.616929054260254,2.038039207458496,110,165,165
66,5.173989295959473,5.192336082458496,5.001384735107422,8.163272857666016,2.9709367752075195,115,165,165
67,15.62841510772705,16.200361251831055,15.927660942077637,18.473770141601562,2.273408889770508,107,165,165
68,7.001278877258301,7.033740997314453,6.733917713165283,9.151732444763184,2.1179914474487305,110,165,165
69,3.596334457397461,3.600587844848633,3.532707929611206,5.085030555725098,1.4844427108764648,90,165,165
70,9.003985404968262,9.04517650604248,8.985441207885742,10.660737037658691,1.615560531616211,106,165,165
71,4.184358596801758,4.442996025085449,4.335440158843994,6.156713485717773,1.7137174606323242,94,165,165
72,0.30730322003364563,0.5149343013763428,0.5043714046478271,2.286620855331421,1.7716865539550781,113,165,165
73,3.6702358722686768,3.5646839141845703,3.3564364910125732,5.389519691467285,1.7192838191986084,97,165,165
74,0.9292206764221191,0.9683852791786194,0.953829288482666,3.0663223266601562,2.097937047481537,117,165,165
75,4.883359909057617,4.754079818725586,4.83117151260376,6.2154998779296875,1.3321399688720703,102,165,165
76,4.682463645935059,4.868032455444336,4.828151226043701,6.853384017944336,1.9853515625,105,165,165
77,2.7470760345458984,2.7226779460906982,2.7166078090667725,4.194214820861816,1.447138786315918,97,165,165
78,4.353034973144531,4.176260471343994,4.123193740844727,5.94167423248291,1.588639259338379,109,165,165
79,1.4262934923171997,1.3995497226715088,1.5017189979553223,3.318392515182495,1.8166735172271729,95,165,165
80,5.281364440917969,5.265279293060303,5.307529926300049,6.64071798324585,1.3331880569458008,108,165,165
81,2.610816478729248,2.810661792755127,2.8531627655029297,4.797041893005371,1.9438791275024414,102,165,165
82,2.9747533798217773,3.1088473796844482,3.0262691974639893,4.162416458129883,1.0535690784454346,105,165,165
83,1.376160740852356,1.2955927848815918,1.3079921007156372,2.7592551708221436,1.3830944299697876,102,165,165
84,5.646491050720215,5.296191215515137,5.293203353881836,7.3509907722473145,1.7044997215270996,102,165,165
85,5.490814685821533,5.409320831298828,5.461156845092773,7.172062873840332,1.6812481880187988,109,165,165
86,4.008558750152588,4.183533191680908,4.184607982635498,6.378182888031006,2.193574905395508,96,165,165
87,2.147099018096924,1.9825303554534912,2.0075628757476807,3.7494659423828125,1.6023669242858887,109,165,165
88,5.72116756439209,6.3130340576171875,6.134667873382568,8.476469039916992,2.1634349822998047,95,165,165
89,8.673238754272461,8.732401847839355,8.590739250183105,11.019444465637207,2.2870426177978516,98,165,165
90,0.5564284324645996,0.5627543330192566,0.5211780071258545,2.0714516639709473,1.5086973309516907,111,165,165
91,7.024873733520508,6.9907355308532715,6.820267200469971,8.765436172485352,1.7405624389648438,95,165,165
92,4.443742752075195,4.820835590362549,4.760138511657715,7.117227554321289,2.2963919639587402,94,165,165
93,3.4665160179138184,3.5621418952941895,3.563117265701294,4.808739185333252,1.245621919631958,98,165,165
94,3.6869330406188965,3.626047372817993,3.613865613937378,4.9835968017578125,1.296663761138916,91,165,165
95,5.048762798309326,5.05785608291626,4.889707088470459,7.060065269470215,2.002209186553955,111,165,165
96,1.6241283416748047,1.6670470237731934,1.6715564727783203,3.029956579208374,1.3584001064300537,105,165,165
97,12.573140144348145,12.765304565429688,12.683304786682129,14.78943157196045,2.0241270065307617,113,165,165
98,2.883917808532715,2.792116403579712,2.621645212173462,4.238312244415283,1.3543944358825684,95,165,165
99,1.0858604907989502,1.1026196479797363,1.0811865329742432,3.4529926776885986,2.3503730297088623,106,165,165
100,3.918715476989746,4.129923343658447,4.004156589508057,6.144631385803223,2.0147080421447754,108,165,165
101,7.597851753234863,8.094308853149414,7.951563835144043,9.385454177856445,1.2911453247070312,105,165,165
102,3.419556140899658,3.478957414627075,3.329460620880127,5.1335859298706055,1.6546285152435303,112,165,165
103,4.404534339904785,4.288707733154297,4.265938758850098,6.566080093383789,2.161545753479004,122,165,165
104,0.6893329620361328,0.4407576322555542,0.15178540349006653,2.56474232673645,1.8754093647003174,114,165,165
105,3.1728291511535645,3.530536651611328,3.4779651165008545,5.1732659339904785,1.6427292823791504,108,165,165
106,2.5591979026794434,2.6185853481292725,2.4934892654418945,4.324059009552002,1.7054736614227295,106,165,165
107,7.867964744567871,7.834465503692627,7.709448337554932,9.738439559936523,1.8704748153686523,108,165,165
108,2.5706374645233154,2.6511571407318115,2.6431820392608643,4.372101306915283,1.7209441661834717,101,165,165
109,5.100527763366699,5.197325706481934,4.971653461456299,6.88439416885376,1.6870684623718262,109,165,165
110,3.4502429962158203,3.414538860321045,3.3878490924835205,5.154987335205078,1.7047443389892578,96,165,165
111,6.71672248840332,7.01314640045166,7.079463481903076,9.125089645385742,2.045626163482666,101,165,165
112,6.263528347015381,6.247809410095215,6.079433917999268,7.995896339416504,1.732367992401123,102,165,165
113,5.105440616607666,5.168813705444336,5.082178592681885,7.528201103210449,2.3593873977661133,103,165,165
114,6.169032096862793,6.24476432800293,6.12310266494751,8.306551933288574,2.0617876052856445,108,165,165
115,2.8153257369995117,2.7890684604644775,2.857290029525757,4.897073745727539,2.0397837162017822,84,165,165
116,4.391384124755859,4.454626083374023,4.300621509552002,6.276240348815918,1.8216142654418945,102,165,165
117,8.851962089538574,9.100857734680176,8.956180572509766,11.13839340209961,2.0375356674194336,103,165,165
118,4.561468601226807,4.632120132446289,4.5488152503967285,5.954683303833008,1.3225631713867188,102,165,165
119,1.4563134908676147,0.9647669196128845,0.9412941932678223,3.4664347171783447,2.01012122631073,103,165,165
120,3.7614688873291016,3.6832714080810547,3.428779363632202,5.153441429138184,1.391972541809082,126,165,165
121,6.617347240447998,6.783384799957275,6.682991981506348,9.143699645996094,2.3603148460388184,107,165,165
122,3.5433120727539062,3.575469732284546,3.526681661605835,5.491188049316406,1.9157183170318604,84,165,165
123,0.8558627367019653,0.41957157850265503,0.37963375449180603,2.5040080547332764,1.648145318031311,101,165,165
124,1.8435838222503662,1.700885534286499,1.6336702108383179,3.8192365169525146,1.9756526947021484,108,165,165
125,2.100831985473633,1.9686148166656494,1.951972484588623,3.637120008468628,1.5362880229949951,105,165,165
126,3.0102086067199707,2.969097375869751,2.887092351913452,4.625017166137695,1.6148085594177246,100,165,165
127,7.247552394866943,7.291916847229004,7.33290433883667,9.31786060333252,1.9849562644958496,102,165,165
128,2.9381284713745117,2.9232547283172607,2.878079414367676,4.55576229095459,1.6176338195800781,97,165,165
129,5.3986406326293945,5.45945930480957,5.442512035369873,7.15976619720459,1.7003068923950195,107,165,165
130,6.078591346740723,6.193091869354248,6.0330939292907715,7.962520122528076,1.7694282531738281,102,165,165
131,9.300665855407715,9.663262367248535,9.618291854858398,11.671709060668945,2.00844669342041,119,165,165
